scene, arousal_level, pleasure_level
HallwaySceneBezierCalc7,0.688682377338409,0.367435365915298
HallwaySceneBezierCalc8,0.674599468708038,0.572217524051666
HallwaySceneBezierCalc5,0.648573994636536,0.411484032869339
HallwaySceneBezierCalc3,0.654477119445801,0.575647950172424
HallwaySceneBezierCalc1,0.683434188365936,0.651441633701324
HallwaySceneBezierCalc5,0.701167702674866,0.661387026309967
HallwaySceneBezierCalc2,0.698377251625061,0.708251118659973
HallwaySceneBezierCalc6,0.685638010501862,0.346406102180481
HallwaySceneBezierCalc8,0.740419507026672,0.654975056648254
HallwaySceneBezierCalc3,0.721947073936462,0.394032895565033
HallwaySceneBezierCalc2,0.725386500358582,0.653038501739502
HallwaySceneBezierCalc5,0.719847202301025,0.317471116781235
HallwaySceneBezierCalc6,0.719128489494324,0.673263132572174
HallwaySceneBezierCalc5,0.77580463886261,0.363496005535126
HallwaySceneBezierCalc8,0.664824247360229,0.386147826910019
HallwaySceneBezierCalc4,0.755639731884003,0.274983108043671
HallwaySceneBezierCalc4,0.715486526489258,0.358734548091888
HallwaySceneBezierCalc6,0.641949951648712,0.596012055873871
HallwaySceneBezierCalc1,0.741005957126617,0.649476230144501
HallwaySceneBezierCalc4,0.676488876342773,0.34813317656517
HallwaySceneBezierCalc5,0.721022725105286,0.394288122653961
HallwaySceneBezierCalc7,0.71643602848053,0.58893895149231
HallwaySceneBezierCalc6,0.696743071079254,0.606078326702118
HallwaySceneBezierCalc6,0.718222439289093,0.622297883033752
HallwaySceneBezierCalc8,0.730327427387238,0.380943477153778
HallwaySceneBezierCalc3,0.675687491893768,0.359941989183426
HallwaySceneBezierCalc7,0.727327466011047,0.398706614971161
HallwaySceneBezierCalc3,0.683143138885498,0.605283856391907
HallwaySceneBezierCalc7,0.694350957870483,0.553755760192871
HallwaySceneBezierCalc1,0.687328457832336,0.415935575962067
HallwaySceneBezierCalc1,0.695622146129608,0.427001893520355
HallwaySceneBezierCalc1,0.710336089134216,0.397935807704926
HallwaySceneBezierCalc6,0.699919581413269,0.564968526363373
HallwaySceneBezierCalc3,0.670031487941742,0.476664990186691
HallwaySceneBezierCalc6,0.690500140190125,0.515383541584015
HallwaySceneBezierCalc2,0.672065019607544,0.5398188829422
HallwaySceneBezierCalc3,0.688557147979736,0.455193996429443
HallwaySceneBezierCalc4,0.722175359725952,0.48198264837265
HallwaySceneBezierCalc2,0.731572866439819,0.558860301971436
HallwaySceneBezierCalc8,0.683204472064972,0.430696308612823
HallwaySceneBezierCalc5,0.70306783914566,0.349343508481979
HallwaySceneBezierCalc1,0.668510913848877,0.468733966350555
HallwaySceneBezierCalc2,0.705275297164917,0.552179098129272
HallwaySceneBezierCalc4,0.707732021808624,0.454777657985687
HallwaySceneBezierCalc7,0.703349769115448,0.459407091140747
HallwaySceneBezierCalc3,0.673157393932343,0.544995129108429
HallwaySceneBezierCalc4,0.699257254600525,0.540122389793396
HallwaySceneBezierCalc1,0.703723728656769,0.495398789644241
HallwaySceneBezierCalc7,0.695174098014832,0.540147602558136
HallwaySceneBezierCalc3,0.682725012302399,0.531451046466827
HallwaySceneBezierCalc5,0.773038327693939,0.479059666395187
HallwaySceneBezierCalc7,0.721162080764771,0.521010935306549
HallwaySceneBezierCalc4,0.715584576129913,0.456213146448135
HallwaySceneBezierCalc6,0.736225306987762,0.544258654117584
HallwaySceneBezierCalc7,0.715413928031921,0.496418625116348
HallwaySceneBezierCalc3,0.727862477302551,0.574129104614258
HallwaySceneBezierCalc8,0.699698805809021,0.361012548208237
HallwaySceneBezierCalc8,0.726328909397125,0.44063264131546
HallwaySceneBezierCalc6,0.728089213371277,0.593783617019653
HallwaySceneBezierCalc4,0.705341815948486,0.461281150579453
HallwaySceneBezierCalc1,0.697030365467072,0.509722828865051
HallwaySceneBezierCalc4,0.724703192710876,0.447723060846329
HallwaySceneBezierCalc2,0.73555850982666,0.563891351222992
HallwaySceneBezierCalc2,0.709652960300446,0.506368279457092
HallwaySceneBezierCalc1,0.704970955848694,0.356676459312439
HallwaySceneBezierCalc8,0.698318898677826,0.46040067076683
HallwaySceneBezierCalc4,0.69887638092041,0.5
HallwaySceneBezierCalc6,0.711938261985779,0.5247762799263
HallwaySceneBezierCalc7,0.712651491165161,0.421596616506577
HallwaySceneBezierCalc5,0.731455683708191,0.319055557250977
HallwaySceneBezierCalc7,0.734278678894043,0.426239430904388
HallwaySceneBezierCalc1,0.744885206222534,0.517141222953796
HallwaySceneBezierCalc3,0.72523957490921,0.473672032356262
HallwaySceneBezierCalc5,0.758954584598541,0.363481849431992
HallwaySceneBezierCalc8,0.722030222415924,0.448754221200943
HallwaySceneBezierCalc2,0.710648536682129,0.515656113624573
HallwaySceneBezierCalc8,0.755748093128204,0.442691773176193
HallwaySceneBezierCalc2,0.711000800132751,0.448036730289459
HallwaySceneBezierCalc2,0.766893804073334,0.676382839679718
HallwaySceneBezierCalc5,0.766021490097046,0.307036757469177
